,Movie_id,Budget,Revenue,titleID,originalTitle,releaseYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes,cast,OscarNominations,OscarsWon
6319,tt0319736,3000000.0,6000000.0,tt0319736,The Legend of Bhagat Singh,2002,155,"Action,Biography,Drama",nm0764316,"nm0438499,nm0592795,nm0707304,nm0764316",8.1,17218.0,"['nm13746178', 'nm1504396', 'nm1558782', 'nm1568773', 'nm1569737', 'nm1572162', 'nm1572198', 'nm1572644', 'nm1574859', 'nm1575125', 'nm1575942', 'nm1575944', 'nm1575946', 'nm1576059', 'nm1576664', 'nm1576952', 'nm1587078', 'nm1587171', 'nm1591446', 'nm1591503', 'nm1631831', 'nm1632186', 'nm1632285', 'nm1632380', 'nm2336913', 'nm2350047']",0,0
6320,tt0319769,4000000.0,146402.0,tt0319769,Los lunes al sol,2002,113,"Comedy,Drama",nm0508208,"nm0508208,nm0602508",7.5,15309.0,"['nm2764548', 'nm4641496']",0,0
6321,tt0320244,5000000.0,742898.0,tt0320244,Party Monster,2003,98,"Biography,Crime,Drama","nm0047259,nm0053190","nm0047259,nm0053190,nm1306654",6.2,17125.0,['nm1554793'],0,0
6322,tt0320661,130000000.0,218100000.0,tt0320661,Kingdom of Heaven,2005,144,"Action,Adventure,Drama",nm0000631,nm1184258,7.3,311355.0,[],0,0
6323,tt0320691,22000000.0,95708457.0,tt0320691,Underworld,2003,121,"Action,Fantasy,Thriller",nm0936482,"nm0340485,nm0936482,nm0564286",7.0,283622.0,"['nm1455547', 'nm1456417']",0,0
6324,tt0322259,76000000.0,236350661.0,tt0322259,2 Fast 2 Furious,2003,107,"Action,Crime,Thriller",nm0005436,"nm0860155,nm0104973,nm0351929",5.9,295447.0,"['nm1378331', 'nm1378373', 'nm1378375']",0,0
6325,tt0322330,26000000.0,160846332.0,tt0322330,Freaky Friday,2003,97,"Comedy,Family,Fantasy",nm0914132,"nm0734742,nm0352320,nm0228908",6.3,151218.0,['nm1422150'],0,0
6326,tt0322589,18000000.0,62646763.0,tt0322589,Honey,2003,94,"Drama,Music,Romance",nm0937306,"nm1188393,nm0914760",5.3,47252.0,"['nm1480094', 'nm1480115', 'nm1480131', 'nm1480138']",0,0
6327,tt0322659,1900000.0,1600000.0,tt0322659,Northfork,2003,103,"Drama,Fantasy",nm0689187,"nm0689185,nm0689187",6.2,5585.0,"['nm1189290', 'nm1523483', 'nm1524980', 'nm1525505', 'nm1526466']",0,0
6328,tt0322802,5000000.0,64282312.0,tt0322802,Jackass: The Movie,2002,85,"Action,Comedy,Documentary",nm0871860,"nm0871860,nm0005069,nm0424216,nm0546640,nm0828177,nm1035634,nm0690686,nm0257424,nm0242756,nm0569199,nm0225164,nm1029269,nm2525534,nm1079524,nm0519671,nm4007510,nm8722262,nm2928258,nm0154074",6.6,101745.0,[],0,0
6329,tt0323013,4500000.0,4600000.0,tt0323013,Lakshya,2004,186,"Action,Drama,Romance",nm1027719,"nm0015287,nm1260845,nm10689808",7.8,25382.0,"['nm1753578', 'nm1796150', 'nm1796347', 'nm1797962', 'nm1798027', 'nm1830163', 'nm1830242', 'nm1830279']",0,0
6330,tt0323033,28000000.0,30000000.0,tt0323033,Laws of Attraction,2004,90,"Comedy,Romance",nm0398185,"nm0112459,nm0363326",5.8,24500.0,"['nm1597299', 'nm3046461']",0,0
6331,tt0323298,2500000.0,1062253.0,tt0323298,The Mother,2003,112,"Drama,Romance",nm0585011,nm0475659,6.7,4633.0,['nm1418761'],0,0
6332,tt0323642,46000000.0,62870546.0,tt0323642,Piglet's Big Movie,2003,75,"Adventure,Animation,Comedy",nm0322368,"nm0389830,nm0590316,nm0377427",6.1,8632.0,[],0,0
6333,tt0323944,6000000.0,2944752.0,tt0323944,Shattered Glass,2003,94,"Drama,History",nm0712753,"nm0084334,nm0712753",7.1,37467.0,"['nm1440900', 'nm1443304']",0,0
6334,tt0324127,27000000.0,13000000.0,tt0324127,Suspect Zero,2004,99,"Crime,Horror,Mystery",nm0580729,"nm0672015,nm0712753",5.8,20976.0,"['nm1696999', 'nm1697002', 'nm1697023', 'nm1697024', 'nm1697028', 'nm1697046']",0,0
6335,tt0324133,7800000.0,22441323.0,tt0324133,Swimming Pool,2003,102,"Crime,Drama,Mystery",nm0654830,"nm0654830,nm0076814,nm2019127",6.7,48160.0,"['nm1350364', 'nm1352883', 'nm1352957']",0,0
6336,tt0324197,29000000.0,70800000.0,tt0324197,Le temps du loup,2003,114,Drama,nm0359734,nm0359734,6.5,11411.0,"['nm1382654', 'nm3069222', 'nm3069284', 'nm3069887', 'nm3070160', 'nm3070671', 'nm3071147', 'nm3071472', 'nm3071893', 'nm7306406']",0,0
6337,tt0324216,9500000.0,107400000.0,tt0324216,The Texas Chainsaw Massacre,2003,98,Horror,nm1197971,"nm0377066,nm0001361,nm0466925",6.2,151563.0,[],0,0
6338,tt0324554,30000000.0,13000000.0,tt0324554,Wicker Park,2004,114,"Drama,Mystery,Romance",nm0006476,"nm0590813,nm0101625",6.9,58420.0,[],0,0
6339,tt0325005,5000000.0,340312.0,tt0325005,[Anti]killer,2002,114,"Action,Crime",nm0464847,"nm1203191,nm1222567,nm4094947",5.5,1691.0,"['nm4875654', 'nm4875729', 'nm4875772', 'nm4886891', 'nm4886895', 'nm4886901', 'nm4886907', 'nm4886909', 'nm4886929', 'nm4886939', 'nm4886958', 'nm5158056', 'nm5158060', 'nm5158061', 'nm5158062']",0,0
6340,tt0325055,7000000.0,10000000.0,tt0325055,Sylvia,2003,110,"Biography,Drama,Romance",nm0420422,nm0003164,6.3,11226.0,['nm1353101'],0,0
6341,tt0325537,35200000.0,37788228.0,tt0325537,Head of State,2003,95,Comedy,nm0001674,"nm0001674,nm0503669",5.5,21142.0,"['nm1222908', 'nm1345106', 'nm1345157', 'nm1345627', 'nm1345811', 'nm1345823', 'nm1345910', 'nm1345974', 'nm1345983', 'nm1346365', 'nm1347061', 'nm1347122', 'nm1347311', 'nm1347422', 'nm1347444', 'nm1347619', 'nm1347891', 'nm1347920', 'nm1348044', 'nm1348121', 'nm1348123', 'nm1348151', 'nm1348161', 'nm1348176', 'nm1348361', 'nm1348477']",0,0
6342,tt0325596,8800000.0,72962.0,tt0325596,The I Inside,2004,90,"Mystery,Sci-Fi,Thriller",nm0725345,"nm0177769,nm0091579",6.0,11348.0,[],0,0
6343,tt0325655,10706075.0,1766761.0,tt0325655,Gin gwai,2002,99,"Fantasy,Horror,Mystery","nm0161152,nm0659380","nm0401189,nm0659380,nm0161152",6.6,29999.0,"['nm1216948', 'nm1217958', 'nm2112601', 'nm2115875', 'nm2116637', 'nm2116899', 'nm2116998', 'nm2117144', 'nm2117778', 'nm2118554', 'nm2118565', 'nm2118882', 'nm2119051', 'nm2119462', 'nm2119514', 'nm2119767', 'nm2119846', 'nm2120378', 'nm2120624', 'nm2121483', 'nm2121493', 'nm2122165', 'nm2122381', 'nm2122449', 'nm2122687']",0,0
6344,tt0325703,95000000.0,160100000.0,tt0325703,Lara Croft: Tomb Raider - The Cradle of Life,2003,117,"Action,Adventure,Fantasy",nm0000957,"nm1212988,nm0211823,nm0366337",5.5,144313.0,"['nm1409705', 'nm1411677', 'nm1412958', 'nm1629369']",0,0
6345,tt0325710,140000000.0,456800000.0,tt0325710,The Last Samurai,2003,154,"Action,Drama",nm0001880,"nm0517589,nm0001880,nm0380980",7.8,467246.0,"['nm1257933', 'nm1491147', 'nm1491166', 'nm1491168', 'nm1491169', 'nm1491175', 'nm1491186']",4,0
6346,tt0325805,62000000.0,65565672.0,tt0325805,Matchstick Men,2003,116,"Comedy,Crime,Drama",nm0000631,"nm1201715,nm1206007,nm0341372",7.3,137691.0,['nm1446849'],0,0
6347,tt0325980,140000000.0,655011224.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,"Action,Adventure,Fantasy",nm0893659,"nm0254645,nm0744429,nm0064181,nm0938684",8.1,1200060.0,"['nm1400937', 'nm1409636']",5,0
6348,tt0326450,1300000.0,809000.0,tt0326450,Zvezda,2002,97,"Action,Adventure,Drama",nm0495536,"nm0097180,nm0341936,nm0443535,nm0495536",6.9,2791.0,"['nm1532874', 'nm1533366']",0,0
6349,tt0326769,24000000.0,23510601.0,tt0326769,Biker Boyz,2003,110,"Action,Drama",nm0090066,"nm1213025,nm0272948,nm0090066",4.6,14063.0,"['nm1227871', 'nm1315818', 'nm1316544']",0,0
6350,tt0326806,500000.0,243347.0,tt0326806,Civil Brand,2002,95,"Crime,Drama,Thriller",nm0056006,"nm0926211,nm0507393",5.1,806.0,[],0,0
6351,tt0326828,13000000.0,574672.0,tt0326828,A Different Loyalty,2004,96,"Drama,Romance,Thriller",nm0437709,nm0682063,4.9,1516.0,"['nm1687562', 'nm1687674', 'nm1688600', 'nm1689343', 'nm1690103', 'nm1690112', 'nm1696223', 'nm1696641']",0,0
6352,tt0326905,80000000.0,10166502.0,tt0326905,The Great Raid,2005,132,"Action,Drama,War",nm0001093,"nm1220363,nm1214007,nm0076166,nm1215164",6.6,23936.0,"['nm1660651', 'nm1696986', 'nm1697000', 'nm1697014', 'nm1697015', 'nm1697039']",0,0
6353,tt0327036,3000000.0,19184015.0,tt0327036,Martin Lawrence Live: Runteldat,2002,113,"Comedy,Documentary",nm0713527,nm0001454,5.4,1780.0,[],0,0
6354,tt0327056,25000000.0,156800000.0,tt0327056,Mystic River,2003,138,"Crime,Drama,Mystery",nm0000142,"nm0001338,nm1212331",7.9,482725.0,['nm1616630'],4,2
6355,tt0327067,1500000.0,139622.0,tt0327067,Odinochestvo krovi,2002,96,Thriller,nm1213790,nm1253078,4.8,115.0,[],0,0
6356,tt0327084,80000000.0,343397247.0,tt0327084,Over the Hedge,2006,83,"Adventure,Animation,Comedy","nm0456732,nm0426333","nm0089676,nm0131661,nm0395924,nm0456732,nm1212328,nm1213375,nm1938852,nm0286790,nm0221133",6.7,188240.0,[],0,0
6357,tt0327162,90000000.0,102000000.0,tt0327162,The Stepford Wives,2004,93,"Comedy,Horror,Sci-Fi",nm0000568,"nm0505615,nm0397411",5.3,69464.0,"['nm12620594', 'nm1628072', 'nm1631554', 'nm1631567']",0,0
6358,tt0327247,40000000.0,26155781.0,tt0327247,The Whole Ten Yards,2004,98,"Comedy,Crime,Thriller",nm0222043,"nm0438449,nm0303032",5.5,58487.0,['nm1573987'],0,0
6359,tt0327437,110000000.0,72178895.0,tt0327437,Around the World in 80 Days,2004,120,"Action,Adventure,Comedy",nm0178997,"nm0894523,nm0864435,nm0073026,nm1309286",5.9,94365.0,"['nm1627558', 'nm1627559', 'nm1627571', 'nm1627583', 'nm1627599', 'nm1627603', 'nm1627622', 'nm3095666']",0,0
