Movie_id,Budget,Revenue
tt1716767,0.0,0.0
tt1716772,4478250.0,88823111.0
tt1716777,16000000.0,12434778.0
tt17169982,0.0,0.0
tt1717152,0.0,0.0
tt1717153,26700.0,0.0
tt1717158,0.0,0.0
tt1717170,0.0,0.0
tt1717191,,
tt1717202,,
tt1717207,0.0,0.0
tt1717208,0.0,0.0
tt1717226,,
tt1717229,0.0,0.0
tt17174750,0.0,0.0
tt17175444,0.0,0.0
tt1717550,0.0,0.0
tt1717561,0.0,0.0
tt1717686,0.0,0.0
tt1717690,0.0,0.0
tt1717715,82000000.0,0.0
tt1717721,,
tt1717724,0.0,0.0
tt1717730,,
tt1717736,0.0,0.0
tt1718117,0.0,0.0
tt1718130,,
tt1718147,0.0,0.0
tt1718158,1700000.0,0.0
tt1718182,0.0,0.0
tt1718196,,
tt1718199,0.0,0.0
tt1718203,,
tt17184980,6000.0,0.0
tt1718711,0.0,0.0
tt1718714,0.0,357.0
tt1718720,,
tt1718723,0.0,0.0
tt1718742,0.0,0.0
tt1718747,0.0,0.0
tt1718755,0.0,0.0
tt1718757,0.0,0.0
tt1718763,0.0,0.0
tt1718765,0.0,0.0
tt1718766,0.0,0.0
tt1718770,,
tt1718791,0.0,0.0
tt1718798,0.0,0.0
tt1718800,0.0,0.0
tt1718801,0.0,0.0
tt1718802,0.0,0.0
tt1718807,0.0,0.0
tt1718820,,
tt1718835,0.0,0.0
tt1718837,0.0,0.0
tt1718842,0.0,0.0
tt1718844,0.0,0.0
tt1718847,0.0,0.0
tt1718854,0.0,0.0
tt1718856,0.0,0.0
tt1718881,2000000.0,1268793.0
tt1718898,0.0,0.0
tt1718903,0.0,2653454.0
tt1718910,0.0,0.0
tt1718915,0.0,0.0
tt1718924,0.0,1641235.0
tt1718952,0.0,0.0
tt1718957,0.0,0.0
tt1718958,0.0,0.0
tt1718998,0.0,0.0
tt1719029,,
tt1719030,0.0,0.0
tt1719052,,
tt1719053,0.0,0.0
tt1719068,0.0,0.0
tt1719071,4000000.0,355688.0
tt1719474,822000.0,1200000.0
tt1719490,0.0,0.0
tt1719492,0.0,0.0
tt1719496,0.0,0.0
tt17194974,0.0,0.0
tt1719497,350000.0,0.0
tt1719528,0.0,0.0
tt1719540,0.0,0.0
tt1719543,0.0,0.0
tt1719546,,
tt1719580,0.0,0.0
tt1719581,,
tt1719583,0.0,0.0
tt1719590,,
tt1719605,0.0,0.0
tt17196124,0.0,0.0
tt1719634,0.0,0.0
tt1719654,,
tt1719665,4245800.0,0.0
tt1719671,0.0,0.0
tt1719676,,
tt1719680,0.0,0.0
tt1719688,,
tt1719697,,
